In2Se3_bronze from Matlab for Lammps

300 atoms

2 atom types

-38.320985 38.320985 xlo xhi
-2.150000 1.900000 ylo yhi
-38.320985 38.320985 zlo zhi

Masses

1 1.148180e+02
2 7.896000e+01

Atoms

213 2 -12.852959 -1.150000 -31.812292
214 2 -9.457259 0.900000 -32.981521
215 2 -19.186239 -1.150000 -28.444837
216 2 -16.107839 0.900000 -30.294521
217 2 -24.680987 -1.150000 -23.834206
218 2 -22.054429 0.900000 -26.283505
219 2 -29.097059 -1.150000 -18.181905
220 2 -27.037135 0.900000 -21.123774
221 2 -32.241449 -1.150000 -11.734968
222 2 -30.838189 0.900000 -15.040832
223 2 -33.976733 -1.150000 -4.775157
224 2 -33.291465 0.900000 -8.300534
225 2 -34.227071 -1.150000 2.393352
226 2 -34.289745 0.900000 -1.197463
227 2 -32.981521 -1.150000 9.457259
228 2 -33.789398 0.900000 5.957944
229 2 -30.294521 -1.150000 16.107839
230 2 -31.812292 0.900000 12.852959
231 2 -26.283505 -1.150000 22.054429
232 2 -28.444837 0.900000 19.186239
233 2 -21.123774 -1.150000 27.037135
234 2 -23.834206 0.900000 24.680987
235 2 -15.040832 -1.150000 30.838189
236 2 -18.181905 0.900000 29.097059
237 2 -8.300534 -1.150000 33.291465
238 2 -11.734968 0.900000 32.241449
239 2 -1.197463 -1.150000 34.289745
240 2 -4.775157 0.900000 33.976733
241 2 3.900989 -1.150000 37.116549
242 2 11.532707 -1.150000 35.494402
243 2 7.759354 0.900000 36.505456
244 2 18.660391 -1.150000 32.320980
245 2 15.179705 0.900000 34.094464
246 2 24.972526 -1.150000 27.734975
247 2 21.936630 0.900000 30.193380
248 2 30.193242 -1.150000 21.936819
249 2 27.734818 0.900000 24.972701
250 2 34.094369 -1.150000 15.179919
251 2 32.320863 0.900000 18.660594
252 2 36.505408 -1.150000 7.759584
253 2 35.494330 0.900000 11.532930
254 2 37.320985 -1.150000 0.000117
255 2 37.116525 0.900000 3.901222
256 2 36.505456 -1.150000 -7.759354
257 2 37.116549 0.900000 -3.900989
258 2 34.094464 -1.150000 -15.179705
259 2 35.494402 0.900000 -11.532707
260 2 30.193380 -1.150000 -21.936630
261 2 32.320980 0.900000 -18.660391
262 2 24.972701 -1.150000 -27.734818
263 2 27.734975 0.900000 -24.972526
264 2 18.660594 -1.150000 -32.320863
265 2 21.936819 0.900000 -30.193242
266 2 11.532930 -1.150000 -35.494330
267 2 15.179919 0.900000 -34.094369
268 2 3.901222 -1.150000 -37.116525
269 2 7.759584 0.900000 -36.505408
270 2 -3.900989 -1.150000 -37.116549
271 2 0.000117 0.900000 -37.320985
272 2 -11.532707 -1.150000 -35.494402
273 2 -7.759354 0.900000 -36.505456
274 2 -18.660391 -1.150000 -32.320980
275 2 -15.179705 0.900000 -34.094464
276 2 -24.972526 -1.150000 -27.734975
277 2 -21.936630 0.900000 -30.193380
278 2 -30.193242 -1.150000 -21.936819
279 2 -27.734818 0.900000 -24.972701
280 2 -34.094369 -1.150000 -15.179919
281 2 -32.320863 0.900000 -18.660594
282 2 -36.505408 -1.150000 -7.759584
283 2 -35.494330 0.900000 -11.532930
284 2 -37.320985 -1.150000 -0.000117
285 2 -37.116525 0.900000 -3.901222
